com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6467,4,0,6,2021-02-26 07:51:00.000,,,2021-02-26 07:53:53.697,2021-02-26 07:53:53.697,6,0.7175061,4.640625,0.21875,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 07:52:00.000,3f13710a-3270-4cae-89f5-f175f5ae0cf1,
6589,4,0,15,2021-02-26 07:35:00.000,230002,,2021-02-26 07:35:24.017,2021-02-26 07:35:23.395,15,1.8888888,12.446,0.68,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:35:59.999,8890a461-2a8e-67d3-137f-ecbd95c8fb3f,
59704,4,158,0,2021-02-25 12:27:00.000,,,2021-02-25 12:31:35.449,2021-02-25 12:27:33.666,158,2.9578154,176.59375,12.986572,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:28:00.000,9465ddf9-3fff-4be9-b970-edad0ebc57fe,
38472,4,0,74,2021-02-26 07:36:00.000,,,2021-02-26 07:41:34.544,2021-02-26 07:41:34.544,74,1.5650234,60.210938,2.6723633,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 07:37:00.000,4bf9a41a-8185-4717-988e-7a67c9392d3d,
17868,4,0,35,2021-02-26 08:40:00.000,,,2021-02-26 08:43:41.380,2021-02-26 08:43:41.380,35,1.5108093,26.996094,1.2880859,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:41:00.000,2082aea1-fe0a-431c-b381-e00033a7235f,
31342,4,0,76,2021-02-25 11:44:00.000,230002,,2021-02-25 11:45:04.558,2021-02-25 11:45:04.550,76,1.3611112,42.66,5.24,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:44:59.999,b08df71f-8f4b-652a-cfda-f617b28e79dc,
30623,4,0,48,2021-02-26 07:27:00.000,230002,,2021-02-26 07:28:23.329,2021-02-26 07:27:31.493,48,1.1426854,34.993,1.96,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:27:59.999,0a1bd43a-2f65-e7de-54b1-47f652c3f710,
6647,4,0,11,2021-02-25 11:17:00.000,230002,,2021-02-25 11:17:25.454,2021-02-25 11:17:25.453,11,1.1944444,7.94,0.46,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:17:59.999,7aee2384-2acf-bee7-8f83-204199632c02,
10810,4,0,15,2021-02-26 00:27:00.000,230002,,2021-02-26 00:35:02.149,2021-02-26 00:35:02.149,15,0.9722222,10.51,0.59,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 00:27:59.999,d66e3a8d-2816-fe8f-b5e3-1d4a48dd0125,
5052,4,0,10,2021-02-25 09:06:00.000,230002,,2021-02-25 09:15:06.209,2021-02-25 09:15:06.209,10,1.5555556,7.86,0.35,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 09:06:59.999,a9696a20-9b74-65d4-9a90-5e0b7ec26743,
4519,4,0,13,2021-02-25 21:54:00.000,230002,,2021-02-25 21:55:01.147,2021-02-25 21:55:01.147,13,3.3055556,14.94,0.84,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 21:54:59.999,d8db2106-0d56-280c-b183-8c1917cfda40,
16066,4,0,39,2021-02-26 08:56:00.000,,,2021-02-26 09:00:31.920,2021-02-26 08:56:22.316,39,1.9766648,31.757812,1.4309082,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:57:00.000,20e71e46-57bd-45f2-9fb2-a3cfad6285af,
6348,4,0,10,2021-02-26 07:13:00.000,230002,,2021-02-26 07:14:09.495,2021-02-26 07:14:09.495,10,1.1388888,7.23,0.39,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:13:59.999,3993a816-6aa8-9061-4851-a826f9ecfac8,
